feature,coefficient,importance
ST_Slope,1.0773419310533583,1.0773419310533583
ExerciseAngina,0.6293900905884058,0.6293900905884058
ChestPainType,0.5670695423597029,0.5670695423597029
FastingBS,0.356368455434316,0.356368455434316
Oldpeak,0.18351012436791136,0.18351012436791136
RestingECG,0.11975817613402205,0.11975817613402205
RestingBP,0.021989013793790806,0.021989013793790806
Age,-0.03304749605564431,0.03304749605564431
MaxHR,-0.3074433111507597,0.3074433111507597
Cholesterol,-0.4065976087269666,0.4065976087269666
Sex,-0.4076105885890504,0.4076105885890504
